"User","Content"
"HoracioTraveler","No son ni las 10 am y ya necesito #ahorcarme"
"gabuleta","Ayer el médico me preguntó cómo estaba e hice gesto de enroscarme una soga al cuello y ahorcarme pero me faltó actuar que seguro se corta."
"TorrealbaLuis14","Mala mía por querer ahorcarme siempre."
"YuliPeralta25","Buena noche pa pegarme una chupa y ahorcarme después ah"
"isaquierealfa","@sofbearg si hubiera la opción de ahorcarme la tomarías 😔"
"lethouisbe","cada vez que me acuerdo del primer md que le envíe a gonzalo me dan ganas de ahorcarme por dios que verguenza"
"peakyjenn_","en esta escena ya estaba preparando la sábana para ahorcarme https://t.co/Xq5xWZrG4d"
"sehunscoffes","@btsworldnct Ya acabó la hora emo ahora si me disculpan iré a ahorcarme ahre si"
"airthquake","Se me ha pegado decirle bebé a todo el mundo, quiero ahorcarme."
"desastreismad","estoy a nada de ahorcarme porque tengo que salir de mi casa a socializar y estoy mentalmente inestable pero no puedo negarme a ir bueno ok si me muero quiero dejarle todo a louis tomlinson chau ahre"
"dobledecafe","pero claro, recuerdo perfectamente como ha sido mi vida en estas últimas semanas y me dan ganas de ahorcarme porque no quiero una cosa  ni la otra"
"olenenaquedices","hoy estoy pa ahorcarme macho...por lo que sea!"
"bxzzcutseas0n","tengo q ir a la particular q ganas de ahorcarme"
"ukEfvcker","Fallé en mi intento de ahorcarme, ah."
"HoracioTraveler","Que clase de día tan complicado y no es ni medio día. Definitivamente voy a #ahorcarme"
"Osmary_i","Decidido....me fui a ahorcarme........feliz tarde #twitpause"
"rubiuspituca","@LUVBOTMILKIE LOS SE ME DIERON GANAS DE AHORCARME"
"gabuleta","Justificarse con \"vos porque nunca te pasó\" me da ganas de ahorcarme. Mirá nunca me violó un perro tampoco pero sé que no lo disfrutaría."
"kimingyu_co","si llego a coger sería una cuerda para ahorcarme, na+ bros. . . ."
"peakyjenn_","estaba llorando por esto y me crucé con un edit de darcy diciendole cuanto la ama a elizabeth ya estoy preparando la sábana para ahorcarme"
"airthquake","Venga que voy a ver Gakkou gurashi para luego llorar y después ahorcarme."
"forlths","@louisxpuppy las ganas de ahorcarme son tremendas"
"xuag0bio","Tengo miedo que bangtan suba algo a la vapp, quiero ahorcarme. Hoy no duermo, jsawyhasa"
"Tetrical","@Rvbia para ahorcarme con ellas"
"oh_my_yoongi","@jimiindipity ahorcarme con el cable más cercano a mí"
"0800merlina","Se me pegó el temita del orto de la nueva y la ex de daddy yankee. DADDY YANKEE, quiero ahorcarme"
"w_gintsuQ7","Cómo en cuánto sale morirse, para ver cuánto dejo ahorrado en mi casa y ahorcarme tranquilamente luego del final final verdadero ora si es este* de la comedia (?)"
"Omsito","@ghoficial Ahorcarme 🤣"
"fixin62","@vmarin5 ya me has roto el corazón. Voy al baño a ahorcarme de un pie (si no te ahogas) pero sigue escribiendo jajajaja"
"rubiuspituca","Hora de ahorcarme"
"MariahPozzo","Me apetece o llorar durante una semana o ahorcarme. No encuentro el punto medio."
"louis90s","#EnElColegioSiempre me dan ganas de ahorcarme"
"messypussy_","@HIS3KA porq sirven para ahorcarme"
"prdkth","quiero ahorcarme"
"oh_my_yoongi","@jiminhappily TAKEN SIEMPRE VA A SER ESA CANCIÓN QUE ME HACE AHORCARME CON EL CABLE USB https://t.co/oir9c3AqOq"
"DonkhodeHelio","Viernes de ahorcarme a mi mismo hasta conseguir dormir"
"hszgolden","ayer fui a comprar las cosas para el colegio estuve a esto )( de ahorcarme con 1 bufanda hasta morir."
"JuanVergarass","@edwcasttro Estoy optando en ahorcarme ahorita mismo en el palo de yuca que tengo atrás de la casa"
"haruhseokk","estoy a punto de ahorcarme con los audifonos, es menos doloroso que este frío de mierda gracias simios del cpech la florida clase de mate"
"yxgexo","Quiero ahorcarme ya"
"Haroooold27","Que ganas de ahorcarme:/"
"oh_my_yoongi","SOLO QUIERO AHOGARME EN MIS LÁGRIMAS PARA DESPUÉS AHORCARME CON UN CABLE DE CORRIENTE ELÉCTRICA https://t.co/qS1sZ39vSy"
"L0UISATAN","ahora que 5sos esta en méxico andan insoportables con el spam que ganas de ahorcarme"
"damngely","ayer no tuve tiempo de ahorcarme, hoy si parece el día perfecto."
"Espinete_Oscuro","Si me toca la lotería, el dinero lo destinaré a construirme un mausoleo antes de ahorcarme."
"UnTalBrian","@SharonMCorrales No me digas eso porque ahi si Voy comprando una Cuerda para ahorcarme"
"kimingyu_co","estaba viendo el coso ese de up10tion y lloré bc vi a yein siendo 1 bebé mientras jugaba con las manitas de una honey10, vOY A AHORCARME"
"nathandelarosa","Ontá mi pinshi cuerda pa' ahorcarme? #NowPlaying Love Me Tender - From the 20th Century-Fox \"Love Me Tender\" de Elv… https://t.co/2rE53ORY7M"
"w_gintsuQ7","DEMEN DINERO, ESTE VIDEOJUEGO ES LO ÚNICO QUE ME DETIENE DE NO AHORCARME"
"TheGrefg","PUES NADA!   2 HORAS Y MEDIA GRABANDO Y  RESULTA QUE NO HE GRABADO  ... NADA ... NADAAAAAAAAAAA!!!!!!!  Voy a ahorcarme, ahora hablamos! 👍"
"SquidGameV","🔵🔹JUEGO 3🔹🔵  AHORCARME 😏  El primer líder del equipo que responda primero correctamente seguira en el juego y podrá enviar un team a la horca.   PISTA: DULCE https://t.co/5W9QjTuMKC"
"MirimRc","No se si ahorcarme o llamar a los ovnis."
"tantrolo","Es una paja pensar que no piensa en vos. Así que me retiro ahorcarme al granero, BRB"
"Bellaca_RM","@egn10 a mi me ilusiona a ahorcarme"
"maikrussa","@dnl_or Mis tres intentos de tener una vida un poco más saludable me deprimieron y me provocaron ahorcarme."
"Huesoshundidos","Debería ahorcarme"
"almostdo","@rxghtnxxw me dan ganas de ahorcarme pero a la vez me da vida, cada que estoy triste leo ese os y me pongo feliz"
"crisktanas","Aún no he visto las actuaciones completas del Glastonbury. Voy a ahorcarme"
"oscuroolvido","no me he bañado en dos días, creo que es mi record, pero de verdad estoy a nada de ahorcarme, no soporto más estar así. iré a bañarme, me chupa un huevo si me pongo peor. antes muerto que mugroso."
"GuadaRobles_","Que necesito pa estar bien? Que me hace falta? Sinceramente ahorcarme para que te voy a mentir"
"RebelSakamaki","Creo que voy a ahorcarme al jardin de atras... https://t.co/G1ktQkOmFe"
"orificocelli","Se que en algun lado una soga va a gritar, y se con la misma soga puedo ahorcarme o saltar al otro lado"
"gonnzacorrea","veo a pibitas de 14/15 años sufriendo por un pibe y me dan ganas de ahorcarme, yo no lo puedo creer."
"wantopjm","nOOOO jimin no queriendo dejar ir a la fan estoy por ahorcarme con los auriculares"
"isaquierealfa","@limitquokka ahorcame por dios ahorcame hasta el punto de que tus manos me dejen marca pero no dejes de ahorcarme déjame sin respiración total si muero voy a morir entre tus lindas manos y por ser el más intenso y asombroso en todo el universo ahorcame por favor no pares de ahorcame"
"tearxsuga","faltan 2 meses para cumplir 17 quiero ahorcarme"
"MariahPozzo","Lo mismo pero en lugar de una torre me dan ganas de ahorcarme :')"
"evermoresott","estoy a punto de dar una prueba de geografia todavia tengo tiempo de ahorcarme"
"Tetrical","Voy a intentar ahorcarme con el cargador de la 3DS, si eso ya nos leemos mañana o algo"
"florherrera420","Una carta de 7 meses de novios, quiero ahorcarme con la carta"
"Omsito","madremia solo de pensar en las dos primeras semanas de Diciembre y me dan ganas de ahorcarme......"
"florherrera420","Me pican los mosquitos y no tengo off que ganas de ahorcarme con una media"
"lalsx_","Hola, quiero ahorcarme."
"_Desletrado","Ahorcarme desde tu cuello uterino."
"UnaMujerDe51","@jrgonzalvez @boreasafn @FjaureguiC Vaya. Voy ahora mismo a ahorcarme."
"97sluvjk","dejé todo para el último día tendría que ahorcarme"
"comoelchocolate","Creía que venía manejando mejor el temita de la baja tolerancia al fracaso con vuna pero la realidad es que me venía saliendo casi todo a la primera y ahora que me está costando algo quiero usar el hilo para tejer mi soga para ahorcarme"
"tiny_rabbit28","gente inteligente: ahorcarme yo: aballename"
"myuloves","si me hicieran elegir entre comer guatitas o ahorcarme me ahorco sin dudarlo"
"KevinBryan73","Hasta Roxy me carga por el partido de ayer, no lo tolero, creo que iré a ahorcarme al granero..."
"muyevil","@EugeniodOrs_ @TwitterEspana Ajjaajaajajajaja pienso mucho en los que tenéis niños pequeños, creo que prefiero ahorcarme 😂😂😂"
"sondelamarimba","No salgo, no tengo novio, no tengo garche, no tengo macho, estoy gorda.. creo que ire a ahorcarme al granero."
"laurismalik","Ojalá mi amigo secreto me regale un lazo para ahorcarme"
"doremila","que ganas de ahorcarme"
"muyevil","@Ternura5050 Yo estoy por ahorcarme!"
"grenaslokass","@Katze_________ Bésame antes de ahorcarme"
"s_urkiza","#GanasDe ahorcarme"
